"Main Product / Base Title","Sub-Product / Model","Product Code","Product Name","Category","Base Price (AED)","Stock Quantity","Short Description","Dimensions / Size","Table Top Finish / Wood","Leg Type / Color","Side Return Option","Chair Type","Color","Warranty","Specifications / Details","Image Filename"
"Ace Executive Chair","Ace Executive High Back","ACE-101-BLACK","Ace High Back Executive Chair - Black","Chairs","650","25","Ergonomic high-back executive office chair featuring adjustable lumbar support, 3D armrests, and synchronous tilt mechanism.","650 x 650 x 1180-1260 mm","","","","High Back","Black","3 Years","Aluminium star base, BIFMA Class 4 gas lift, breathable mesh backrest, high-density molded foam seat cushion.","ACE-101-BLACK.jpg"
"Ace Executive Chair","Ace Executive Mid Back","ACE-201-TAN","Ace Mid Back Executive Chair - Tan Brown","Chairs","580","18","Mid-back executive chair upholstered in premium tan leather, suitable for managerial desks and conference rooms.","630 x 630 x 1020-1100 mm","","","","Mid Back","Tan Brown","3 Years","Chrome steel base, weight-balance tilt mechanism, padded fixed armrests.","ACE-201-TAN.jpg"
"Zen","Zen X Single Seater Workstation","ZENX-1S-2000-WAL-WHT","Zen X Single Seater Workstation 2000x750mm - Side Return 1600mm","Workstations","1650","15","Single-seater modular workstation with integrated 1600mm side return credenza storage.","2000 x 750 x 750 mm","Walnut Wood","White Legs","Side Return 1600mm","","","5 Years","25mm E1 grade MFC table top, powder-coated steel legs, integrated wire duct, lockable 3-drawer side return.","ZENX-1S-2000-WAL-WHT.jpg"
"Zen","Zen X Ultra Single Closed Leg Workstation","ZENX-U1S-2000-WHT-BLK","Zen X Ultra Single Closed Leg Workstation 2000x750mm - Side Return 1600mm","Workstations","1850","12","Premium single-seater workstation featuring heavy-duty black loop leg frame and side return.","2000 x 750 x 750 mm","White Finish","Black Legs","Side Return 1600mm","","","5 Years","25mm E1 grade MFC top, heavy-duty black loop leg frame, integrated wire management raceway.","ZENX-U1S-2000-WHT-BLK.jpg"
"Alpha","Alpha Single Seater Workstation","ALPHA-1S-2000-WAL-WHT","Alpha Single Seater Workstation 2000x750mm - Side Return 1600mm","Workstations","1550","20","Executive workstation featuring clean linear aesthetics and integrated side return.","2000 x 750 x 750 mm","Walnut Wood","White Legs","Side Return 1600mm","","","5 Years","High-density MFC desk top, powder-coated steel leg frame, cable grommets.","ALPHA-1S-2000-WAL-WHT.jpg"
"Alpha","Alpha 4 Closed Leg Workstation","ALPHA-4S-2800-WHT-BLK","Alpha 4-Seater Workstation Cluster 2800x1200mm","Workstations","3200","8","4-person cluster workstation with acoustic central privacy dividers and integrated wire raceway.","2800 x 1200 x 750 mm","White Finish","Black Legs","Central Privacy Divider","","","5 Years","25mm top with 2mm PVC edging, dual heavy-duty leg frames, acoustic fabric privacy screens.","ALPHA-4S-2800-WHT-BLK.jpg"
"Nova Executive Desk","Nova L-Shape Executive Desk","NOVA-EXEC-1800","Nova Executive Desk - 1800x800mm","Executive Desks","2200","5","Luxury executive desk with attached side credenza featuring soft-close drawers and cable flip box.","1800 x 800 x 750 mm","Natural Oak Veneer","Angled Timber Legs","Side Credenza Return","","","5 Years","High-grade wood veneer finish, brushed brass wire grommet, lockable 3-drawer credenza return unit.","NOVA-EXEC-1800.jpg"
"Orion Meeting Table","Orion Conference Boat-Shaped Table","ORION-MTG-2800","Orion Conference Meeting Table - 2800mm","Meeting Tables","1850","8","8-to-10 seater boat-shaped conference table with dual pop-up power & data access modules.","2800 x 1200 x 750 mm","Smoked Oak","Dual Metal Base","","","","5 Years","36mm thick boat-shaped top, dual anodized aluminum power flip boxes, heavy steel pedestal bases.","ORION-MTG-2800.jpg"
"Vista Reception Counter","Vista LED Reception Desk","VISTA-RCP-1800","Vista Reception Desk - 1800mm","Reception Desk","1950","4","Modern reception counter with ambient LED front strip lighting and marble-look front fascia panel.","1800 x 750 x 1050 mm","White Marble & Oak","Plinth Base","Lockable Drawer Unit","","","5 Years","High-pressure laminate front face, warm white LED backlight strip, built-in transaction counter shelf.","VISTA-RCP-1800.jpg"
"Kube Storage","Kube Mobile Pedestal","KUBE-PED-3D","Kube 3-Drawer Mobile Storage Pedestal","Storage","380","40","All-steel mobile pedestal with central gang lock, fifth anti-tilt wheel, and removable stationery tray.","400 x 500 x 620 mm","","","3-Drawer Lockable","","White / Grey","3 Years","0.8mm cold-rolled steel construction, heavy-duty ball bearing slides, interlock anti-tilt mechanism.","KUBE-PED-3D.jpg"
